[FIXES]
ANDEY N039.58.36.360 W082.36.00.630
ANDII N039.38.08.000 W083.39.01.500
ANECU N038.53.37.790 W077.38.29.820
ANEWA N041.36.42.060 W083.36.20.860
ANEZI N041.07.21.280 W083.11.32.700
ANGGL N042.17.14.300 W083.19.31.300
ANIVE N043.59.43.640 W082.53.57.740
ANJEY N041.30.21.650 W081.39.39.920
ANNEE N039.52.57.600 W083.57.50.670
ANNEX N040.31.34.270 W082.11.59.520
ANNGE N039.02.10.390 W077.11.21.830
ANNTS N041.41.00.830 W083.47.26.160
ANOBE N039.44.57.010 W082.32.21.730
ANORY N040.32.06.630 W075.59.23.160
ANOVE N041.57.01.770 W083.29.14.750
ANSAH N042.29.02.140 W082.59.45.820
ANTEO N038.56.05.000 W084.34.36.370
ANTHM N039.26.47.560 W077.21.47.670
ANTHO N043.05.39.120 W076.32.01.030
ANTIO N039.32.36.250 W081.03.51.370
ANTNY N038.25.40.440 W077.33.17.750
ANTRI N039.19.45.800 W084.40.03.170
ANUYE N040.08.41.370 W080.09.50.540
ANUZA N043.42.04.040 W084.27.42.600
ANWEY N041.31.29.340 W085.50.51.690
ANXEG N040.45.28.300 W078.04.05.830
ANYAB N038.42.38.310 W077.30.34.290
APANE N039.20.26.530 W076.33.34.720
APESY N040.01.59.260 W082.58.59.340
APIWO N043.06.33.290 W078.48.49.050
APPAL N040.02.27.520 W085.29.54.100
APRAW N040.57.46.370 W080.55.40.780
APUCO N039.54.15.660 W077.44.33.770
APUSE N038.14.31.320 W078.23.58.280
ARAKE N039.52.04.680 W083.58.04.510
ARARY N040.08.33.310 W079.53.35.410
ARBAS N039.58.05.980 W084.53.55.580
ARCAB N040.35.46.720 W085.17.41.730
ARCAD N041.08.27.520 W083.28.22.790
ARCAT N039.22.58.330 W080.10.52.720
ARDES N042.05.29.440 W083.25.41.770
AREBE N043.34.43.450 W082.54.37.410
AREKE N038.47.50.750 W076.51.48.890
ARETT N041.48.42.380 W080.35.01.400
ARIEL N041.27.17.110 W075.21.41.550
ARIFI N041.13.23.610 W083.32.54.900
ARJEV N041.03.10.820 W083.39.07.620
ARKAY N039.08.48.960 W077.27.24.320
ARKKK N042.03.48.520 W075.19.00.410
ARMEL N038.56.04.490 W077.28.00.160
ARMIF N040.26.29.810 W076.25.55.210
ARMUZ N040.57.05.670 W076.35.23.980
ARNIE N040.12.43.190 W079.29.31.820
AROLE N041.28.53.870 W083.38.31.710
ARORE N040.52.05.210 W076.38.14.480
ARRAY N039.48.55.800 W082.41.25.520
ARRGH N041.53.49.390 W083.35.41.140
ARRUY N040.17.40.950 W077.01.33.960
ARSHP N041.02.07.180 W081.13.48.880
ARTHN N039.20.47.720 W084.27.44.940
ARTSY N041.30.37.440 W080.27.39.870
ARUJO N041.51.30.330 W083.26.16.900
ARUKE N041.02.26.390 W078.40.05.470
ARVON N037.41.13.950 W078.21.58.750
ASAKE N042.36.45.600 W082.36.21.810
ASALE N039.39.30.750 W075.50.43.130
ASANE N043.37.03.740 W084.22.00.100
ASASY N038.29.43.840 W078.59.10.670
ASBUR N037.49.24.410 W080.27.51.440
ASERY N038.28.35.970 W081.17.34.140
ASGOF N038.30.31.270 W078.47.10.420
ASHEN N041.28.49.770 W084.38.48.300
ASHGP N039.01.55.500 W077.56.00.840
ASHLN N039.15.14.680 W078.18.35.110
ASHOR N039.13.31.640 W076.24.18.550
ASHUR N043.10.20.920 W084.21.12.000
ASICO N041.06.58.390 W078.40.31.100
ASIGY N039.42.50.610 W075.40.33.410
ASIWU N040.37.40.650 W080.20.20.060
ASLLI N041.59.20.120 W083.32.25.050
ASOBY N041.32.49.850 W084.07.28.030
ASOMY N040.36.52.960 W075.22.04.810
ASPER N039.08.30.890 W077.18.00.890
ASUDE N040.50.17.800 W086.08.26.910
ASUTE N039.56.39.010 W078.16.27.790
ATAME N041.56.47.530 W078.49.05.050
ATEVY N041.55.54.080 W084.06.09.640
ATEXY N040.47.20.310 W083.58.05.220
ATIBY N038.31.34.560 W078.06.52.940
ATIKE N038.11.30.010 W079.03.00.560
ATIPE N039.59.42.820 W082.46.04.600
ATIRE N038.27.26.200 W077.19.06.610
ATLAZ N043.20.00.000 W078.50.00.000
ATOYE N042.14.29.410 W083.40.13.690
ATTAR N042.30.36.400 W077.25.12.000
ATTEE N041.54.46.270 W083.39.44.530
ATVIY N041.30.46.670 W084.02.46.310
ATWOO N040.29.08.620 W081.12.49.270
ATWUR N041.31.28.070 W079.40.00.760
AUDIL N042.52.18.740 W076.26.35.070
AUREY N042.16.37.040 W076.02.20.370
AUSTJ N041.50.03.930 W086.11.28.470
AUSTN N042.07.52.390 W085.31.42.790
AUTTO N042.34.34.140 W082.20.01.210
AVACA N040.00.50.030 W080.56.58.500
AVACE N040.24.42.160 W085.37.14.390
AVADY N038.12.30.640 W078.09.16.380
AVAYU N039.59.14.380 W075.35.07.340
AVERE N040.19.51.750 W080.03.26.360
AVERL N042.19.55.540 W083.38.05.480
AVFAX N040.56.57.460 W084.21.41.610
AVIDE N039.31.21.750 W084.44.17.780
AVIXY N044.14.53.740 W083.54.50.770
AVIYE N041.54.38.840 W084.21.46.380
AVOBE N041.14.00.070 W081.33.22.200
AVOCI N040.10.26.960 W076.10.35.340
AVOFY N041.10.52.340 W084.18.01.700
AVOLE N038.56.19.970 W077.07.34.190
AVOXE N040.27.33.960 W084.48.27.810
AVOYO N039.55.53.310 W077.42.12.440
AVRAW N040.47.36.260 W079.42.09.310
AVROY N041.34.39.070 W085.10.20.790
AWAVO N043.37.19.910 W084.47.57.740
AWINN N039.38.20.460 W075.51.05.150
AWNEV N040.56.47.690 W081.41.31.650
AWOKA N040.59.08.130 W085.10.52.780
AWOSE N041.23.52.310 W082.55.15.140
AWOSO N041.50.07.220 W083.31.34.550
AWOYI N040.51.21.840 W085.33.59.070
AWOYU N043.26.54.540 W085.29.59.860
AWSOF N042.13.37.310 W084.40.45.820
AWYIR N040.54.34.260 W076.54.33.400
AXAJI N040.14.51.360 W076.54.12.750
AXAWU N041.24.00.880 W083.55.40.180
AXJED N037.16.31.980 W080.27.20.860
AXNAP N037.36.16.470 W081.32.43.390
AXOBU N042.56.39.510 W082.23.42.320 ; updated 1909
AXUBE N041.11.44.400 W082.00.13.600
AXXIS N042.49.50.110 W081.59.00.170
AYALI N043.39.01.400 W083.12.52.260
AYEHI N042.33.37.150 W079.21.06.920
AYERU N041.37.31.810 W085.58.30.140
AYETI N038.29.21.710 W077.18.34.840
AYHEB N041.30.21.640 W082.49.41.080
AYIGE N041.17.20.350 W079.53.48.310
AYOPU N041.15.10.300 W079.24.19.090 ; updated 1909
AYOSA N040.02.10.460 W076.06.07.210
AYOSO N042.05.59.100 W079.45.21.230
AYOTO N042.09.06.910 W083.39.22.280
;AYRTN N040.27.04.650 W084.23.06.730 ; removed 1909
AYUKU N041.24.24.310 W075.13.04.710
AYUSU N041.27.44.280 W079.49.30.790
AYUYI N041.43.15.470 W085.46.42.660
AYXEL N041.11.03.590 W079.56.41.200
AYYLE N041.16.55.550 W082.27.46.510
AYZEL N041.31.10.710 W082.48.07.820
AZBIC N040.00.40.360 W076.55.45.400
AZDEZ N042.46.44.260 W084.42.18.560
AZEFY N039.59.53.870 W075.59.16.680
AZEQY N041.25.37.250 W083.42.33.330
AZIBY N042.39.45.420 W083.29.59.160
AZLOM N038.57.27.180 W076.13.27.240
AZOFE N040.02.16.890 W077.32.55.110
AZWEC N041.39.31.900 W077.51.14.490
BAAAM N038.49.55.010 W077.07.03.260
BAABE N041.00.30.110 W083.32.50.570
BAABS N039.19.51.390 W076.24.40.870
BAABY N039.30.58.810 W079.20.45.570
BAANG N041.52.01.990 W083.36.59.290
BAARN N040.17.29.350 W076.36.40.780
BAASE N040.25.24.950 W076.27.05.990
BAATI N039.39.42.080 W077.56.00.300
BABAC N041.00.40.700 W085.09.00.510
BABBA N041.33.21.370 W081.48.12.220
BABEE N041.31.57.410 W077.11.50.590
BABNE N040.08.24.940 W085.37.08.240
BACAD N043.41.30.390 W082.57.09.370
BACAS N039.07.41.000 W084.32.27.000
BACNA N040.21.56.910 W085.27.40.430
BADCO N041.55.10.370 W084.02.14.700
BADDI N040.09.26.260 W077.25.07.810
BADDN N038.45.41.050 W077.01.43.220
BAFEL N040.00.25.390 W081.04.38.020
BAFIL N038.43.27.810 W076.51.13.130
BAGEL N041.30.57.510 W085.36.49.280
BAGVE N039.36.09.800 W079.54.37.760
BAIER N040.53.43.420 W077.52.21.840
BAILR N038.59.38.640 W084.13.48.160
BAINS N039.38.18.970 W075.54.51.720
BAIRE N039.12.54.500 W084.38.45.300
BAJHE N041.13.08.550 W078.59.21.600
BALAC N040.38.30.480 W085.31.36.710
BALAS N042.22.18.730 W083.13.17.660
BALLA N041.31.35.020 W085.40.20.200
BALLL N040.10.51.270 W085.19.15.090
BALOU N040.13.32.350 W084.05.54.120
BAMBY N042.32.39.220 W084.04.20.230
BAMGE N039.07.42.000 W084.46.43.000
BAMMY N039.24.33.130 W078.25.45.640
BANAC N039.50.14.900 W077.50.21.630
BANJO N044.06.38.290 W084.10.33.540
BANLE N039.20.07.310 W081.19.52.370
BARBR N042.21.59.230 W082.49.53.520
BARII N040.53.22.500 W084.07.19.690
BARIN N038.35.10.920 W077.21.50.090
BARLE N038.49.55.200 W076.52.14.530
BARLY N041.29.03.900 W080.35.24.210
BARRE N043.08.30.530 W078.15.42.340
BARSY N040.26.22.990 W076.29.50.790
BARTE N040.33.26.380 W081.25.25.350
BASHR N041.17.44.450 W082.02.15.340
BASOM N043.04.47.010 W078.22.28.070
BASSI N040.59.55.860 W080.48.30.720
BASYL N039.25.01.990 W077.31.07.410
BATCO N041.09.41.520 W083.28.58.150
BATHY N039.23.48.220 W084.55.19.420
BATOL N042.21.42.350 W085.11.02.720
BATRE N039.39.38.970 W075.43.22.310
BAUGH N038.56.48.030 W076.53.07.140
BAYAC N043.56.34.190 W083.09.59.600
BBARB N041.03.40.390 W082.26.36.900
BBBOB N041.50.17.950 W083.33.29.580
BBILL N038.16.03.420 W078.04.07.760
BBLAK N040.15.56.920 W080.29.34.430
BBONE N038.37.30.120 W078.49.25.810
BBOXX N043.28.11.580 W082.17.22.060
BCATT N039.28.11.580 W085.23.50.460
BDOCK N039.56.06.000 W084.14.01.200
BEAER N038.18.27.730 W083.43.43.800
BEALL N039.47.06.550 W081.02.35.510
BEBLE N038.54.55.810 W077.06.26.920
;BECBA N038.07.07.300 W077.44.09.670 ; removed 1909
